battery_mAh,screen_height_cm,screen_width_px,weight_g,internal_memory_GB,color_variety,has_4g,screen_height_px,has_wifi,talk_time_hr,primary_camera_mp,brand_popularity,thickness_cm,screen_width_cm,year_release,ram_MB,front_camera_mp,cpu_cores,has_bluetooth,has_3g,cpu_speed_GHz,has_touchscreen,has_dual_sim,price_range
1349,15,1019,105,55,1,0,648,1,17,7,8,0.1,7,2018,2462,5,7,1,1,2.2,0,1,2
1689,12,674,168,13,1,1,521,1,17,9,7,0.9,11,2021,1172,0,2,1,1,2.4,1,1,0
1558,9,1409,146,27,5,1,120,1,12,1,8,0.1,2,2019,3598,0,1,1,1,2.4,0,0,3
582,19,1420,168,27,4,0,985,1,2,10,3,0.2,2,2020,2437,3,3,0,1,0.5,1,1,2
1485,14,774,138,44,2,1,341,0,8,14,6,0.1,12,2018,3271,3,4,0,1,2.8,1,0,3
1991,17,1377,94,9,2,0,751,0,9,12,1,0.7,8,2016,1511,11,3,1,0,1.8,0,0,1
553,7,1517,119,23,1,1,993,0,14,3,7,0.5,3,2023,2981,2,3,0,1,0.5,0,1,2
1231,9,1663,113,7,5,0,43,0,15,7,1,0.9,4,2021,3119,2,1,0,1,0.7,1,1,3
805,18,1538,88,34,3,0,1262,1,9,2,9,0.6,11,2018,3647,1,6,0,1,0.8,0,0,3
764,18,511,152,13,3,0,361,0,6,2,1,1.0,7,2017,3148,1,8,1,1,1.2,1,1,2
894,11,541,130,54,2,1,104,1,13,15,1,0.2,5,2017,2829,5,3,0,1,0.9,0,0,2
1589,11,940,84,46,4,0,618,0,20,16,7,0.4,9,2023,2373,9,3,0,1,2.6,1,0,2
1456,6,1666,80,39,2,1,815,0,13,10,2,0.1,3,2019,3998,9,8,0,1,1.6,1,1,3
743,19,1659,95,33,1,1,1587,0,4,1,5,0.3,10,2017,316,0,2,0,1,0.5,0,1,0
1061,16,1330,109,52,4,1,138,0,9,4,8,0.1,12,2019,999,3,7,1,1,2.1,1,0,0
1428,12,983,153,7,3,0,584,0,13,2,8,0.1,8,2016,1808,0,4,1,0,1.6,1,0,1
674,18,772,93,8,5,1,750,0,4,0,3,0.2,6,2018,589,0,3,1,1,2.8,1,1,0
832,8,1366,93,46,5,1,820,0,19,0,7,0.3,0,2016,3317,0,6,0,1,1.1,1,0,3
1625,16,1219,107,50,1,1,8,0,8,17,3,0.1,3,2016,670,2,8,1,1,0.5,0,1,0
907,11,507,151,42,2,0,171,0,6,16,6,0.2,9,2022,584,3,1,0,1,1.4,0,1,0
1631,12,1735,166,13,1,1,960,0,8,16,6,0.5,3,2015,2173,2,2,0,1,0.5,1,0,2
1584,10,1291,135,41,5,0,160,1,17,15,3,0.6,5,2021,1561,6,4,1,0,1.3,0,0,1
1382,16,719,199,13,3,1,612,1,9,18,7,0.3,7,2019,2073,7,2,1,1,0.5,0,0,1
633,19,1915,102,46,5,1,709,0,11,10,3,0.7,14,2022,1401,0,6,1,1,1.4,1,0,1
1444,14,917,104,38,4,0,624,0,10,16,8,0.4,9,2015,3764,9,7,1,0,2.1,0,0,3
852,13,730,147,54,5,1,538,1,12,7,10,0.4,7,2021,1275,6,5,1,1,1.6,0,1,0
922,17,1808,157,47,5,1,1295,1,12,14,4,1.0,4,2019,1464,0,8,1,1,0.7,0,0,1
1745,13,1908,159,57,4,1,1164,1,5,16,1,0.1,11,2018,2885,4,3,0,1,1.5,1,1,3
862,9,1977,107,6,2,1,829,1,9,14,4,0.1,4,2021,3458,9,8,0,1,2.3,1,0,3
1754,11,1452,101,52,5,1,199,1,19,3,7,1.0,6,2016,3019,1,4,1,1,2.1,0,1,3
1008,6,1972,109,36,1,0,825,0,6,14,4,1.0,4,2015,1083,3,1,0,0,2.5,0,0,1
1569,18,930,147,33,5,0,519,1,15,13,6,0.2,1,2015,3538,3,1,0,1,0.5,0,1,3
1596,14,1190,149,7,1,0,169,1,13,9,9,0.7,12,2015,2493,7,2,0,1,2.9,1,1,2
1807,8,1968,134,61,4,1,1734,0,15,6,1,0.1,5,2019,3726,2,6,1,1,0.5,0,1,3
1660,12,1165,184,7,5,0,76,0,7,6,5,0.8,0,2021,1531,4,1,0,0,2.8,0,1,1
1861,7,1877,148,55,4,1,1698,0,4,8,7,0.5,5,2016,601,4,7,1,1,0.9,0,0,1
648,8,1997,91,8,4,0,819,1,4,19,1,1.0,7,2022,2991,4,5,0,0,1.9,0,1,2
1379,11,671,134,19,2,0,387,1,19,17,4,0.3,2,2018,3912,1,8,0,0,0.5,1,1,3
1910,8,1284,115,34,5,0,985,1,10,0,6,0.6,4,2017,309,0,2,1,0,1.7,0,0,0
1807,9,974,155,13,1,1,970,1,3,0,2,0.5,3,2022,323,0,8,0,1,2.0,1,1,0
1923,10,1759,191,46,1,0,767,1,3,10,10,0.5,9,2016,1489,7,1,0,1,0.5,1,1,1
1345,9,1465,162,38,5,1,512,0,15,11,5,0.1,2,2017,1322,7,3,1,1,3.0,0,0,1
904,7,760,102,14,2,1,56,1,3,9,10,0.2,0,2017,1846,5,8,0,1,1.6,0,1,1
1239,8,661,122,52,2,1,590,1,6,10,1,0.9,0,2015,417,5,2,0,1,1.2,0,1,0
1330,19,1304,84,52,2,1,462,0,8,12,6,0.8,6,2020,3269,6,4,0,1,0.9,1,0,3
516,17,698,138,30,1,0,126,0,15,12,6,0.9,13,2016,3731,1,1,1,0,0.7,0,1,2
672,17,1143,95,54,4,0,578,0,14,11,4,0.9,8,2015,667,0,4,1,0,0.5,0,1,0
892,12,1782,94,47,2,1,655,1,9,18,8,0.4,3,2016,1241,0,1,1,1,0.5,0,0,1
1778,19,1445,101,23,1,1,1028,0,13,11,4,0.5,6,2020,3941,0,6,0,1,0.5,0,0,3
1130,17,1261,132,58,1,1,88,0,16,14,8,0.1,1,2018,1018,4,5,1,1,2.5,0,0,0
1359,19,1902,86,59,4,0,1692,1,17,6,8,0.3,3,2020,3142,4,2,0,0,0.6,1,0,3
1866,7,1782,89,47,5,1,358,0,20,9,5,0.8,4,2023,1444,3,5,1,1,2.5,0,1,1
1597,16,1667,89,34,5,0,64,0,9,14,4,0.4,10,2022,934,11,1,0,0,2.3,1,0,0
1046,17,1040,100,58,2,1,259,1,9,0,2,0.2,12,2015,3863,0,8,1,1,2.8,1,1,3
1035,14,1960,99,44,2,1,236,0,12,3,3,0.5,5,2022,3506,2,3,0,1,0.6,1,1,3
1175,9,1394,164,19,4,0,873,0,9,9,3,0.3,4,2023,1944,2,7,1,1,1.3,1,0,1
1261,14,1591,90,11,2,1,858,1,14,0,4,0.2,9,2020,348,0,4,1,1,0.5,0,1,0
1068,12,1910,124,51,4,0,1405,0,6,15,4,0.5,8,2019,550,9,4,0,1,0.7,1,1,0
1713,11,890,104,20,1,1,237,0,10,17,10,0.9,10,2020,971,5,7,0,1,3.0,0,1,0
1688,17,864,170,21,2,1,650,1,8,0,5,0.2,14,2020,3984,0,7,0,1,2.5,1,0,3
1413,17,1994,104,45,1,1,1949,1,15,6,4,0.4,8,2023,2973,4,5,1,1,0.5,0,1,3
559,10,823,82,11,3,0,541,1,16,14,10,0.4,4,2018,2019,10,5,1,1,0.5,1,0,1
1483,9,1552,146,19,4,0,361,0,19,19,8,0.6,4,2016,1587,13,7,1,0,2.6,0,1,1
860,17,1463,187,48,3,0,335,0,18,18,6,0.5,2,2023,1870,13,7,1,1,1.6,0,1,1
1090,5,1910,91,27,2,0,1638,0,11,16,6,0.1,1,2016,1352,5,4,0,0,1.3,1,1,1
686,7,1392,91,3,1,0,1109,0,19,15,8,0.3,6,2023,570,11,6,1,0,0.5,1,0,0
818,12,510,177,43,2,0,111,1,7,15,7,0.9,6,2016,546,14,6,0,1,1.3,1,0,0
1456,12,1427,193,49,3,0,1285,0,16,20,10,0.2,11,2022,3624,5,3,0,1,1.6,1,1,3
774,8,1731,188,10,2,1,1480,1,2,9,10,0.5,6,2023,2944,2,2,0,1,0.5,1,1,2
1068,19,875,197,19,5,1,322,0,12,9,8,0.9,12,2023,1209,0,8,0,1,0.5,1,1,0
1373,15,1348,141,29,3,1,1220,1,7,12,2,0.9,2,2023,2752,1,6,1,1,1.9,1,1,3
1777,5,616,188,20,2,0,511,1,7,5,9,0.6,1,2016,3868,3,6,1,0,3.0,1,0,3
594,16,1263,132,28,1,1,1011,1,4,3,1,0.1,4,2018,3087,2,5,0,1,0.8,1,0,2
1524,11,635,124,57,2,0,629,1,16,12,8,0.5,4,2021,947,5,2,0,0,2.6,1,1,0
511,9,622,175,50,1,0,140,0,8,16,4,0.1,7,2016,1484,12,3,1,1,0.6,0,1,0
1402,17,1767,87,46,5,0,1081,1,12,12,4,0.3,0,2015,347,3,7,1,1,0.6,0,1,0
965,12,653,131,53,2,0,297,0,8,19,5,1.0,6,2017,3227,15,8,1,1,0.5,0,0,2
1270,13,1716,104,58,5,0,1512,1,16,1,8,0.5,4,2018,3299,0,5,1,0,2.3,0,0,3
919,8,570,159,13,3,0,275,0,17,15,5,0.3,4,2022,1028,11,1,0,1,0.5,0,1,0
1963,18,1813,157,34,1,1,1136,1,2,17,8,0.1,2,2020,714,16,2,1,1,1.0,0,0,1
1977,8,1356,173,31,3,0,1145,0,7,6,10,0.4,2,2016,2641,2,8,0,0,1.3,0,1,3
1881,12,1553,158,51,1,0,477,0,14,7,1,0.3,0,2023,1229,4,5,0,1,2.2,0,0,1
683,16,1985,173,19,5,0,954,1,5,17,10,0.9,3,2016,2622,5,4,0,0,0.7,0,0,2
772,13,1471,100,6,4,0,741,1,18,10,9,0.1,6,2019,929,7,2,0,0,2.6,1,1,0
536,15,705,135,53,2,1,547,1,7,0,6,0.7,10,2018,1211,0,3,1,1,1.4,0,0,0
1694,7,1208,186,53,5,0,1194,0,6,0,3,1.0,5,2021,1653,0,6,0,1,1.8,0,0,2
1633,9,906,111,33,1,1,146,0,7,19,8,0.9,0,2022,511,3,2,0,1,1.7,1,1,0
1371,13,663,167,52,1,0,471,0,8,19,9,0.5,6,2019,3034,4,4,0,0,0.5,0,0,2
551,6,1916,172,54,1,1,169,1,19,15,6,0.1,1,2019,1414,0,7,1,1,2.8,0,0,0
1221,13,1976,139,28,1,1,1895,1,10,7,7,0.5,11,2016,2438,1,1,0,1,0.5,1,0,3
1000,11,1761,179,63,2,0,1537,1,7,18,1,0.7,1,2022,3744,12,8,1,0,0.5,0,0,3
1986,5,1520,162,64,3,1,236,1,15,20,5,0.2,3,2016,1377,3,4,0,1,2.7,1,1,1
1119,7,915,164,23,4,1,821,0,7,1,5,0.4,4,2020,3520,0,4,0,1,0.5,0,1,3
1699,17,1768,97,59,2,0,466,1,12,3,10,0.5,10,2022,3796,1,4,0,0,0.5,1,1,3
1099,17,1096,146,61,1,1,393,1,3,20,4,0.3,10,2020,1699,13,3,0,1,0.5,1,0,1
1576,14,631,90,58,2,0,400,1,13,16,6,0.2,8,2018,336,7,3,0,1,2.6,1,0,0
950,14,843,156,55,5,0,774,0,13,10,7,0.1,12,2018,1095,9,5,1,0,0.5,1,0,0
1081,9,519,99,49,1,0,284,1,6,17,9,1.0,1,2020,325,13,3,1,0,2.5,0,1,0
606,19,1152,146,53,4,1,465,0,7,2,1,0.2,12,2018,1223,1,4,0,1,2.5,0,0,0
502,6,1810,199,37,1,0,705,0,14,12,6,0.2,1,2022,1649,7,2,0,0,1.5,1,1,1
957,12,1682,160,4,4,1,38,0,3,0,7,0.1,4,2023,1898,0,2,1,1,0.7,1,0,1
1658,12,739,159,38,4,1,51,0,19,0,3,0.3,11,2015,2609,0,5,1,1,1.4,0,1,2
1681,5,1005,167,18,3,0,850,1,20,7,8,0.3,3,2018,2265,6,1,1,1,2.5,1,1,2
1983,9,676,87,43,3,0,349,1,3,10,5,1.0,4,2018,2775,3,6,1,0,0.5,1,1,2
1753,17,1595,113,12,2,1,387,1,12,17,9,0.9,16,2016,1445,8,7,0,1,1.2,1,0,1
1632,5,1623,132,41,2,0,706,0,15,1,5,0.1,4,2020,2614,0,4,1,1,1.4,0,0,2
1949,5,1178,145,57,4,0,951,0,19,11,9,0.3,3,2017,356,7,7,1,0,1.4,0,0,0
1696,5,772,97,13,1,0,179,1,4,2,10,0.9,0,2021,523,1,3,0,0,1.7,1,0,0
688,17,1964,131,57,5,0,426,0,4,3,4,0.8,1,2019,3745,0,7,0,0,2.5,1,1,3
1104,6,1413,199,60,5,1,653,1,3,13,9,0.4,0,2018,1229,1,2,0,1,1.7,1,0,0
1122,14,1963,184,28,1,0,1578,0,3,4,5,0.6,10,2019,1402,0,3,0,0,2.8,1,0,1
504,13,1795,172,46,1,1,280,0,8,14,10,0.9,5,2022,2085,2,5,1,1,0.5,0,1,1
1154,8,1801,156,14,3,1,251,1,4,14,9,0.7,3,2017,587,12,7,0,1,0.5,1,0,0
1727,19,1992,85,63,5,1,1463,1,7,8,3,0.6,13,2021,2457,2,7,0,1,2.1,0,0,3
1674,7,1649,89,52,4,1,1432,0,6,7,4,0.2,0,2020,2030,0,3,0,1,2.8,0,1,2
1948,16,571,135,18,2,1,477,0,3,14,9,0.2,2,2015,816,5,2,0,1,2.8,0,1,0
1218,10,1746,150,39,3,0,1122,0,12,14,10,0.8,0,2021,1667,3,7,1,0,2.8,0,1,1
531,17,1903,189,63,5,0,145,0,19,14,6,0.7,1,2021,2958,10,7,0,0,1.1,1,0,2
1057,6,1055,154,5,1,0,416,0,13,13,2,0.5,4,2015,3705,4,5,0,1,2.1,0,0,3
576,11,893,162,30,5,0,847,1,16,5,7,0.8,6,2023,2800,1,8,0,0,1.2,1,0,2
1960,11,877,165,7,4,0,868,1,6,9,2,0.2,9,2020,3773,1,7,1,0,2.1,1,0,3
673,7,1088,88,22,3,1,594,0,17,5,2,0.1,2,2016,2050,3,1,1,1,1.7,1,1,1
718,17,830,88,21,1,1,518,1,9,7,1,0.8,11,2019,1754,0,1,0,1,0.7,0,1,1
864,12,1805,103,35,4,1,663,1,13,7,3,0.3,8,2018,1904,3,3,0,1,1.7,1,0,1
547,17,541,154,37,2,0,371,0,10,4,6,0.4,3,2021,2705,1,5,0,1,1.9,1,1,1
623,16,1781,102,3,3,1,1749,1,3,7,8,0.1,13,2022,3537,1,8,1,1,0.9,0,0,3
1793,16,722,154,27,4,0,586,1,19,13,9,0.4,3,2015,1370,11,5,0,1,0.7,0,1,1
1720,13,646,137,19,4,0,409,0,7,3,7,0.1,2,2019,1222,0,2,1,0,0.7,0,1,1
812,6,1309,106,64,1,0,35,0,2,7,4,1.0,0,2017,3102,1,4,0,0,0.5,0,1,2
980,7,1758,160,33,2,1,1008,0,4,0,6,0.9,5,2015,2268,0,6,1,1,0.5,1,0,2
643,7,1079,187,18,4,1,442,1,18,12,5,0.2,5,2017,2648,9,8,0,1,1.0,1,0,1
1925,7,1087,175,16,3,1,983,0,19,11,8,0.8,3,2020,2173,0,8,0,1,3.0,1,1,2
1408,19,982,151,32,4,0,875,0,3,6,1,0.1,18,2021,3162,3,4,1,1,2.5,0,0,3
1522,14,1191,124,28,5,0,952,1,17,5,1,0.2,5,2022,1368,4,1,1,1,0.7,0,1,1
587,10,1361,111,51,3,1,244,1,7,17,6,0.6,4,2018,2746,16,1,1,1,2.5,0,0,2
1959,7,1055,191,18,3,0,65,1,8,20,10,0.7,4,2017,619,5,6,0,1,0.5,1,1,0
1872,17,1767,89,17,4,0,1749,1,9,6,2,0.7,3,2019,724,3,6,0,1,0.5,0,1,1
1043,16,1626,111,42,1,0,716,0,6,8,5,0.1,9,2023,912,7,3,1,0,0.5,1,0,0
1809,12,1661,123,23,3,0,433,1,20,19,1,0.7,6,2020,2784,6,6,0,1,0.5,1,0,3
1703,7,521,92,23,5,1,134,0,17,7,7,0.2,3,2023,793,5,6,1,1,0.5,1,0,0
1095,9,1247,197,45,1,0,179,0,10,5,1,0.5,1,2020,560,4,1,1,1,0.5,1,0,0
1414,5,1564,137,27,1,0,804,1,8,20,4,0.6,2,2016,312,1,4,0,0,2.6,0,0,0
1659,12,1515,88,41,1,0,787,1,9,18,9,0.1,0,2019,545,2,7,1,0,2.5,1,0,0
1540,19,822,197,60,3,0,704,1,2,12,1,0.8,0,2023,1591,1,7,0,1,0.7,0,1,1
1342,15,1638,86,31,1,1,991,0,10,1,4,0.6,5,2022,2746,0,7,0,1,1.0,1,0,3
1189,9,932,198,8,4,0,379,0,13,14,6,0.5,6,2021,893,13,3,1,1,2.3,1,0,0
518,16,710,128,62,1,1,489,1,7,0,6,0.6,12,2015,2514,0,6,1,1,2.4,1,0,1
1449,10,1883,144,10,5,1,1518,1,8,12,8,0.2,0,2018,1032,3,1,0,1,0.8,1,1,1
516,8,1401,91,39,2,1,855,1,10,7,1,0.4,0,2021,819,0,5,0,1,1.1,1,1,0
1569,15,1383,111,59,5,0,1261,1,15,16,7,0.9,2,2021,3672,8,3,0,1,0.8,0,1,3
1312,14,1791,156,24,3,0,115,0,17,0,1,0.9,13,2020,3833,0,6,1,0,0.8,1,1,3
1893,15,1432,179,23,1,0,1203,0,17,3,7,0.1,7,2022,1482,1,8,1,0,0.5,1,1,2
1076,7,1300,105,14,1,0,545,0,14,4,3,0.2,5,2020,2043,3,5,0,0,2.5,0,0,1
530,16,1090,118,40,4,0,818,0,2,2,8,0.9,11,2017,1229,1,6,1,0,2.6,1,0,0
1044,17,1262,129,33,1,0,42,1,15,13,3,0.6,16,2018,1816,7,4,1,1,2.8,0,1,1
1330,10,1637,126,37,5,0,1103,0,4,20,1,0.7,1,2017,2166,11,7,0,1,1.1,0,0,2
1836,18,1068,104,14,3,0,168,1,7,1,8,0.7,6,2015,2469,0,5,0,1,1.1,1,1,2
1741,13,755,140,55,2,1,719,1,7,3,3,0.1,10,2019,2575,1,5,1,1,0.5,1,0,2
1869,15,874,152,30,1,1,163,0,19,13,2,0.4,3,2015,1375,0,1,0,1,2.6,0,0,1
1331,6,1531,146,55,2,0,1162,1,11,15,1,0.9,2,2015,1732,8,3,0,1,0.5,0,0,1
1655,10,1348,105,4,1,1,626,0,12,12,3,0.1,3,2016,673,6,3,1,1,0.5,0,1,0
605,15,656,162,18,3,1,329,0,8,14,2,0.9,9,2018,2301,9,2,0,1,1.5,0,0,1
1245,17,1434,105,30,5,0,330,0,7,3,2,0.7,8,2020,2676,2,5,1,1,0.6,0,0,2
1709,18,1292,136,58,3,1,956,0,17,10,6,0.8,3,2022,1781,8,2,1,1,0.8,0,0,2
846,16,1983,123,58,2,1,1140,0,13,15,1,0.1,8,2017,2248,0,4,1,1,2.6,0,0,2
1403,14,1623,90,62,1,0,217,0,18,13,2,0.9,13,2015,921,3,4,1,1,2.5,0,1,0
688,5,869,89,2,2,0,271,1,8,2,6,1.0,2,2017,391,0,3,1,1,1.5,1,0,0
775,19,1555,185,10,5,1,444,1,18,14,3,0.1,3,2017,1719,1,7,1,1,2.5,1,1,1
1154,16,1827,159,35,3,1,1003,0,16,16,4,0.8,15,2019,3262,6,5,0,1,2.0,0,0,3
1375,15,772,194,35,2,1,227,1,15,3,1,0.1,13,2018,1947,2,2,0,1,0.5,1,1,1
1827,8,1764,130,61,2,0,253,1,7,9,8,0.9,3,2018,2693,4,7,1,0,0.8,1,0,3
1697,15,1046,90,60,5,1,88,0,11,0,7,0.1,1,2023,441,0,4,0,1,0.5,1,0,0
741,19,594,178,14,1,0,334,1,9,13,7,0.3,11,2021,1886,1,5,0,1,1.5,1,0,0
1672,17,1896,174,32,2,1,1281,0,20,20,3,0.7,4,2018,1267,13,1,1,1,0.5,1,1,1
514,6,1320,186,57,5,0,168,1,20,7,10,0.1,0,2017,687,4,3,1,1,0.7,1,0,0
1375,17,1687,105,12,1,0,898,0,12,13,10,0.1,1,2020,2890,2,1,1,0,1.3,0,1,3
989,8,1069,124,55,1,1,46,1,10,12,3,0.7,5,2017,1737,4,1,1,1,1.8,0,1,1
1510,18,1170,138,47,3,0,118,0,5,13,2,0.7,6,2020,887,11,2,1,0,2.5,0,1,0
1266,16,1595,86,18,5,0,1187,1,3,2,1,0.4,8,2023,398,1,7,0,1,2.6,1,0,0
1396,7,1347,138,46,1,0,1191,1,15,1,7,0.1,3,2020,2389,0,7,0,0,2.4,0,1,2
808,15,1324,161,45,3,0,526,1,13,9,7,0.8,6,2018,3431,3,1,0,0,2.3,1,0,3
1542,14,966,182,43,4,0,346,0,16,11,2,0.8,4,2019,3601,1,2,0,0,2.3,0,0,3
745,14,1538,102,35,5,0,89,0,16,10,7,0.8,1,2020,2459,5,8,1,1,0.6,1,1,1
1735,6,846,148,59,4,1,137,0,9,0,8,0.7,1,2017,3230,0,6,1,1,1.9,1,1,3
586,15,1389,188,57,1,0,1226,1,11,5,1,0.3,4,2022,3646,1,2,0,1,0.5,1,1,3
1341,18,574,107,36,5,0,473,0,15,1,9,0.4,14,2018,2200,0,8,1,0,2.1,1,1,1
781,17,607,88,64,3,0,368,0,9,7,7,0.2,10,2022,3862,1,2,1,0,1.3,0,1,3
501,17,1636,174,22,1,0,239,0,17,20,3,0.5,3,2017,3077,14,6,1,0,0.5,0,1,2
1224,11,709,139,44,5,1,622,1,14,9,8,0.2,4,2021,621,2,2,1,1,1.8,1,1,0
1970,14,882,80,58,5,1,654,0,2,19,7,0.3,12,2023,2372,11,8,0,1,1.6,1,1,2
618,14,1781,138,63,4,1,853,0,5,1,8,0.9,3,2018,2574,0,2,1,1,2.2,1,1,2
1537,17,1305,158,46,1,1,686,1,2,17,6,0.8,14,2022,2857,11,4,0,1,2.9,1,0,3
1018,17,1433,153,16,3,0,992,0,20,10,9,0.6,12,2017,3143,8,8,0,0,2.2,1,0,3
1545,14,1352,173,35,3,1,115,1,6,20,5,0.1,9,2021,3197,15,5,0,1,1.3,0,1,3
1871,15,1966,144,41,1,1,275,0,11,5,3,0.4,8,2017,2727,4,8,0,1,2.1,0,0,3
1729,9,1178,186,12,1,0,461,1,5,6,3,0.9,4,2021,1519,1,1,1,1,2.1,0,1,1
680,14,1500,131,9,2,1,1428,0,17,11,1,0.1,2,2020,2438,9,3,1,1,2.1,0,1,2
1106,9,1212,107,54,4,0,614,1,9,9,8,0.7,3,2016,2674,4,3,1,1,1.9,0,0,2
635,13,989,97,50,1,1,193,0,12,13,2,0.3,12,2017,2107,1,5,1,1,0.6,0,1,1
618,16,1602,143,16,1,0,1105,0,4,14,3,0.2,15,2020,2262,8,1,0,0,0.6,1,0,2
1671,16,1263,179,5,2,0,398,1,10,18,8,0.9,6,2018,815,13,8,0,1,0.5,1,1,0
1562,13,728,105,52,2,1,480,1,3,9,8,0.1,10,2020,2829,0,7,1,1,1.2,1,1,2
1975,13,1607,151,31,5,0,775,1,19,17,4,0.9,5,2015,3022,2,1,1,0,1.9,0,1,3
831,16,1490,134,62,3,1,1482,1,18,9,4,0.7,12,2015,2573,2,8,1,1,0.7,0,0,2
1524,16,550,174,10,4,0,154,1,13,1,5,0.6,5,2017,2678,0,4,1,1,1.8,0,1,2
1528,11,1762,129,55,5,1,454,1,11,6,6,0.8,9,2022,1282,3,5,1,1,1.8,1,1,1
1447,12,1455,155,9,1,0,737,0,8,16,5,0.2,11,2022,568,2,8,1,0,2.5,0,1,0
1344,8,556,190,14,2,0,419,0,5,3,7,0.5,1,2018,2074,1,1,0,1,1.5,1,0,1
564,9,1737,130,8,3,0,853,1,14,3,2,0.7,2,2020,2227,1,2,0,1,3.0,0,1,1
921,10,1229,83,60,5,0,1211,1,6,3,7,0.1,0,2022,1080,1,2,0,0,0.6,0,1,0
1413,5,1606,200,10,3,0,314,0,15,6,10,0.2,4,2021,2867,2,6,1,0,1.7,1,0,2
831,12,1239,86,55,2,0,172,0,3,12,7,0.5,11,2021,1075,10,6,0,1,2.4,1,0,0
802,17,734,153,43,5,0,527,0,4,6,1,0.6,13,2018,3063,3,5,0,0,0.5,1,1,2
1923,9,1264,86,24,5,0,874,0,15,4,7,1.0,2,2023,2479,3,4,0,1,1.3,1,0,2
1193,19,864,196,56,3,0,674,0,14,17,5,0.4,11,2020,2394,10,3,1,1,3.0,1,0,2
904,13,1014,112,31,2,1,657,0,19,11,3,0.8,3,2017,2814,10,3,1,1,1.2,0,1,2
1285,8,500,140,51,1,1,475,0,10,2,3,1.0,0,2019,2094,1,7,0,1,2.4,0,0,1
1635,10,1411,182,2,5,1,1209,0,2,0,4,0.6,1,2019,2315,0,4,0,1,2.6,1,1,2
1923,13,525,154,14,1,1,15,1,16,6,2,0.9,0,2019,2519,5,4,0,1,1.0,0,1,2
1851,7,1967,198,12,2,1,293,1,14,11,2,0.9,6,2022,735,3,6,1,1,1.9,0,1,0
727,19,1377,131,32,5,1,813,1,7,1,1,1.0,13,2023,1891,0,7,1,1,1.5,0,0,1
1396,7,1843,118,44,5,1,173,1,8,1,5,0.1,1,2023,1386,0,6,0,1,1.5,1,1,1
877,14,652,135,46,1,1,457,0,6,14,4,0.8,12,2020,3260,9,1,0,1,1.3,0,1,2
696,14,797,103,35,4,1,533,1,4,13,10,0.2,11,2020,2022,11,3,1,1,2.4,0,0,1
1009,7,1043,102,2,1,0,912,0,15,14,2,0.6,5,2023,1716,2,8,1,0,1.0,0,1,1
1526,7,1418,116,38,1,1,798,1,8,6,3,0.3,1,2018,3317,2,5,0,1,1.1,1,1,3
987,11,565,192,20,4,0,412,0,8,3,7,0.8,3,2020,1454,1,7,0,1,2.0,1,1,0
1414,13,887,101,49,2,1,130,0,12,1,7,0.5,0,2018,2290,0,4,1,1,2.2,1,1,1
1732,17,656,172,61,2,0,201,1,20,3,4,0.3,11,2015,3940,2,5,0,0,0.8,1,0,3
1587,17,874,148,50,5,0,299,1,4,15,5,0.9,4,2021,461,0,8,1,1,0.5,0,0,0
1097,15,1352,160,21,3,1,1277,1,12,15,5,0.1,6,2020,2219,10,7,0,1,0.8,0,0,2
504,6,1195,178,40,3,0,626,0,16,0,6,0.5,0,2023,470,0,3,0,1,2.8,0,1,0
1159,10,751,80,28,5,1,378,1,9,18,9,0.2,0,2021,2495,13,8,0,1,2.7,1,0,2
1910,8,639,146,29,3,0,333,1,2,2,2,0.6,7,2021,2944,0,7,0,1,1.4,1,0,2
865,16,1804,159,59,1,0,805,1,19,9,5,0.1,11,2016,2361,8,3,0,1,1.2,0,1,2
1930,17,1920,186,16,1,0,1901,1,13,12,3,0.8,3,2023,1783,11,8,1,0,2.0,0,0,2
860,13,1581,170,40,4,1,1573,1,20,13,4,0.7,7,2023,2832,8,3,1,1,1.3,1,1,2
1268,11,912,182,42,4,1,360,0,20,17,10,0.9,5,2020,931,9,6,1,1,2.9,1,0,0
999,17,745,167,27,5,1,20,0,5,1,6,0.1,10,2017,1344,0,4,1,1,1.8,0,1,0
622,13,511,127,9,5,1,98,1,5,0,8,0.3,1,2015,3916,0,2,0,1,0.7,0,0,2
1250,14,1011,182,44,5,0,703,0,14,20,1,0.2,1,2018,1882,8,7,1,0,1.4,0,0,1
763,11,1278,104,51,1,1,273,1,9,12,10,0.3,6,2017,2865,9,5,1,1,0.5,1,0,2
1100,12,1344,112,15,3,0,919,1,16,14,8,0.1,2,2015,757,12,8,1,1,1.6,1,0,0
815,5,1291,85,51,5,0,982,1,6,12,7,0.3,4,2017,3469,4,6,0,1,2.0,0,1,3
618,18,896,88,57,5,1,879,1,17,7,1,0.2,15,2018,2399,2,3,1,1,0.5,1,1,1
553,12,1892,136,18,1,1,1287,0,20,1,2,0.7,10,2022,3300,0,2,1,1,2.2,0,1,3
673,19,1247,84,3,1,0,1109,1,9,9,3,0.4,2,2023,2719,2,2,1,1,2.2,1,1,2
563,14,684,115,47,1,0,211,0,15,12,1,0.3,4,2017,3012,3,7,0,1,2.0,0,1,2
1590,6,1109,187,14,3,1,1058,0,4,15,9,0.5,5,2020,2836,12,4,0,1,1.5,0,1,3
1031,11,1247,121,11,5,1,532,0,16,9,8,0.1,7,2019,2385,2,2,1,1,2.1,0,1,2
